POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,1,Sebastian Vettel,Red Bull Racing Renault,58,1:30:17.558,25
2,2,Mark Webber,Red Bull Racing Renault,58,+8.807s,18
3,5,Fernando Alonso,Ferrari,58,+10.075s,15
4,3,Lewis Hamilton,McLaren Mercedes,58,+40.232s,12
5,8,Nico Rosberg,Mercedes,58,+47.539s,10
6,4,Jenson Button,McLaren Mercedes,58,+59.431s,8
7,9,Nick Heidfeld,Renault,58,+60.857s,6
8,10,Vitaly Petrov,Renault,58,+68.168s,4
9,18,Sebastien Buemi,STR Ferrari,58,+69.394s,2
10,16,Kamui Kobayashi,Sauber Ferrari,58,+78.021s,1
11,6,Felipe Massa,Ferrari,58,+79.823s,0
12,7,Michael Schumacher,Mercedes,58,+85.444s,0
13,14,Adrian Sutil,Force India Mercedes,57,+1 lap,0
14,17,Sergio Perez,Sauber Ferrari,57,+1 lap,0
15,11,Rubens Barrichello,Williams Cosworth,57,+1 lap,0
16,19,Jaime Alguersuari,STR Ferrari,57,+1 lap,0
17,12,Pastor Maldonado,Williams Cosworth,57,+1 lap,0
18,21,Jarno Trulli,Lotus Renault,57,+1 lap,0
19,20,Heikki Kovalainen,Lotus Renault,56,+2 laps,0
20,25,Jerome d'Ambrosio,Virgin Cosworth,56,+2 laps,0
21,22,Narain Karthikeyan,HRT Cosworth,55,+3 laps,0
22,23,Vitantonio Liuzzi,HRT Cosworth,53,+5 laps,0
NC,15,Paul di Resta,Force India Mercedes,44,DNF,0
NC,24,Timo Glock,Virgin Cosworth,,DNS,0
