POS,DRIVER,NATIONALITY,CAR,PTS
1,Lewis Hamilton,GBR,Mercedes,384
2,Nico Rosberg,GER,Mercedes,317
3,Daniel Ricciardo,AUS,Red Bull Racing Renault,238
4,Valtteri Bottas,FIN,Williams Mercedes,186
5,Sebastian Vettel,GER,Red Bull Racing Renault,167
6,Fernando Alonso,ESP,Ferrari,161
7,Felipe Massa,BRA,Williams Mercedes,134
8,Jenson Button,GBR,McLaren Mercedes,126
9,Nico Hulkenberg,GER,Force India Mercedes,96
10,Sergio Perez,MEX,Force India Mercedes,59
11,Kevin Magnussen,DEN,McLaren Mercedes,55
12,Kimi Räikkönen,FIN,Ferrari,55
13,Jean-Eric Vergne,FRA,STR Renault,22
14,Romain Grosjean,FRA,Lotus Renault,8
15,Daniil Kvyat,RUS,STR Renault,8
16,Pastor Maldonado,VEN,Lotus Renault,2
17,Jules Bianchi,FRA,Marussia Ferrari,2
18,Adrian Sutil,GER,Sauber Ferrari,0
19,Marcus Ericsson,SWE,Caterham Renault,0
20,Esteban Gutierrez,MEX,Sauber Ferrari,0
21,Max Chilton,GBR,Marussia Ferrari,0
22,Kamui Kobayashi,JPN,Caterham Renault,0
23,Will Stevens,GBR,Caterham Renault,0
