POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,1,Michael Schumacher,Ferrari,62,1:26:19.670,10
2,9,Jenson Button,BAR Honda,62,+9.702s,8
3,3,Juan Pablo Montoya,Williams BMW,62,+21.617s,6
4,8,Fernando Alonso,Renault,62,+23.654s,5
5,7,Jarno Trulli,Renault,62,+36.216s,4
6,2,Rubens Barrichello,Ferrari,62,+36.683s,3
7,4,Ralf Schumacher,Williams BMW,62,+55.730s,2
8,6,Kimi Räikkönen,McLaren Mercedes,61,+1 lap,1
9,11,Giancarlo Fisichella,Sauber Petronas,61,+1 lap,0
10,12,Felipe Massa,Sauber Petronas,61,+1 lap,0
11,17,Olivier Panis,Toyota,61,+1 lap,0
12,5,David Coulthard,McLaren Mercedes,61,+1 lap,0
13,14,Mark Webber,Jaguar Cosworth,61,+1 lap,0
14,15,Christian Klien,Jaguar Cosworth,60,+2 laps,0
15,21,Zsolt Baumgartner,Minardi Cosworth,58,+4 laps,0
16,10,Takuma Sato,BAR Honda,56,DNF,0
NC,18,Nick Heidfeld,Jordan Ford,48,DNF,0
NC,16,Cristiano da Matta,Toyota,32,DNF,0
NC,20,Gianmaria Bruni,Minardi Cosworth,22,DNF,0
NC,19,Giorgio Pantano,Jordan Ford,6,DNF,0
