POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,1,Michael Schumacher,Ferrari,57,1:28:34.875,10
2,2,Rubens Barrichello,Ferrari,57,+1.367s,8
3,9,Jenson Button,BAR Honda,57,+26.687s,6
4,7,Jarno Trulli,Renault,57,+32.214s,5
5,10,Takuma Sato,BAR Honda,57,+52.460s,4
6,8,Fernando Alonso,Renault,57,+53.156s,3
7,4,Ralf Schumacher,Williams BMW,57,+58.155s,2
8,14,Mark Webber,Jaguar Cosworth,56,+1 lap,1
9,17,Olivier Panis,Toyota,56,+1 lap,0
10,16,Cristiano da Matta,Toyota,56,+1 lap,0
11,11,Giancarlo Fisichella,Sauber Petronas,56,+1 lap,0
12,12,Felipe Massa,Sauber Petronas,56,+1 lap,0
13,3,Juan Pablo Montoya,Williams BMW,56,+1 lap,0
14,15,Christian Klien,Jaguar Cosworth,56,+1 lap,0
15,18,Nick Heidfeld,Jordan Ford,56,+1 lap,0
16,19,Giorgio Pantano,Jordan Ford,55,+2 laps,0
17,20,Gianmaria Bruni,Minardi Cosworth,52,+5 laps,0
NC,5,David Coulthard,McLaren Mercedes,50,DNF,0
NC,21,Zsolt Baumgartner,Minardi Cosworth,44,DNF,0
NC,6,Kimi Räikkönen,McLaren Mercedes,7,DNF,0
