POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,33,Max Verstappen,Red Bull Racing Honda,55,1:36:28.645,25
2,77,Valtteri Bottas,Mercedes,55,+15.976s,18
3,44,Lewis Hamilton,Mercedes,55,+18.415s,15
4,23,Alexander Albon,Red Bull Racing Honda,55,+19.987s,12
5,4,Lando Norris,McLaren Renault,55,+60.729s,10
6,55,Carlos Sainz,McLaren Renault,55,+65.662s,8
7,3,Daniel Ricciardo,Renault,55,+73.748s,7
8,10,Pierre Gasly,AlphaTauri Honda,55,+89.718s,4
9,31,Esteban Ocon,Renault,55,+101.069s,2
10,18,Lance Stroll,Racing Point BWT Mercedes,55,+102.738s,1
11,26,Daniil Kvyat,AlphaTauri Honda,54,+1 lap,0
12,7,Kimi Räikkönen,Alfa Romeo Racing Ferrari,54,+1 lap,0
13,16,Charles Leclerc,Ferrari,54,+1 lap,0
14,5,Sebastian Vettel,Ferrari,54,+1 lap,0
15,63,George Russell,Williams Mercedes,54,+1 lap,0
16,99,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,54,+1 lap,0
17,6,Nicholas Latifi,Williams Mercedes,54,+1 lap,0
18,20,Kevin Magnussen,Haas Ferrari,54,+1 lap,0
19,51,Pietro Fittipaldi,Haas Ferrari,53,+2 laps,0
NC,11,Sergio Perez,Racing Point BWT Mercedes,8,DNF,0
