POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,44,Lewis Hamilton,Mercedes,58,1:42:19.313,25
2,11,Sergio Perez,Racing Point BWT Mercedes,58,+31.633s,18
3,5,Sebastian Vettel,Ferrari,58,+31.960s,15
4,16,Charles Leclerc,Ferrari,58,+33.858s,12
5,55,Carlos Sainz,McLaren Renault,58,+34.363s,10
6,33,Max Verstappen,Red Bull Racing Honda,58,+44.873s,8
7,23,Alexander Albon,Red Bull Racing Honda,58,+46.484s,6
8,4,Lando Norris,McLaren Renault,58,+61.259s,5
9,18,Lance Stroll,Racing Point BWT Mercedes,58,+72.353s,2
10,3,Daniel Ricciardo,Renault,58,+95.460s,1
11,31,Esteban Ocon,Renault,57,+1 lap,0
12,26,Daniil Kvyat,AlphaTauri Honda,57,+1 lap,0
13,10,Pierre Gasly,AlphaTauri Honda,57,+1 lap,0
14,77,Valtteri Bottas,Mercedes,57,+1 lap,0
15,7,Kimi Räikkönen,Alfa Romeo Racing Ferrari,57,+1 lap,0
16,63,George Russell,Williams Mercedes,57,+1 lap,0
17,20,Kevin Magnussen,Haas Ferrari,55,DNF,0
NC,8,Romain Grosjean,Haas Ferrari,49,DNF,0
NC,6,Nicholas Latifi,Williams Mercedes,39,DNF,0
NC,99,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,11,DNF,0
