POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,77,Valtteri Bottas,Mercedes,53,1:34:00.364,26
2,33,Max Verstappen,Red Bull Racing Honda,53,+7.729s,18
3,44,Lewis Hamilton,Mercedes,53,+22.729s,15
4,11,Sergio Perez,Racing Point BWT Mercedes,53,+30.558s,12
5,3,Daniel Ricciardo,Renault,53,+52.065s,10
6,16,Charles Leclerc,Ferrari,53,+62.186s,8
7,31,Esteban Ocon,Renault,53,+68.006s,6
8,26,Daniil Kvyat,AlphaTauri Honda,53,+68.740s,4
9,10,Pierre Gasly,AlphaTauri Honda,53,+89.766s,2
10,23,Alexander Albon,Red Bull Racing Honda,53,+97.860s,1
11,99,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,52,+1 lap,0
12,20,Kevin Magnussen,Haas Ferrari,52,+1 lap,0
13,5,Sebastian Vettel,Ferrari,52,+1 lap,0
14,7,Kimi Räikkönen,Alfa Romeo Racing Ferrari,52,+1 lap,0
15,4,Lando Norris,McLaren Renault,52,+1 lap,0
16,6,Nicholas Latifi,Williams Mercedes,52,+1 lap,0
17,8,Romain Grosjean,Haas Ferrari,52,+1 lap,0
18,63,George Russell,Williams Mercedes,52,+1 lap,0
NC,55,Carlos Sainz,McLaren Renault,0,DNF,0
NC,18,Lance Stroll,Racing Point BWT Mercedes,0,DNF,0
