POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,44,Lewis Hamilton,Mercedes,57,2:59:47.515,25
2,33,Max Verstappen,Red Bull Racing Honda,57,+1.254s,19
3,23,Alexander Albon,Red Bull Racing Honda,57,+8.005s,15
4,4,Lando Norris,McLaren Renault,57,+11.337s,12
5,55,Carlos Sainz,McLaren Renault,57,+11.787s,10
6,10,Pierre Gasly,AlphaTauri Honda,57,+11.942s,8
7,3,Daniel Ricciardo,Renault,57,+19.368s,6
8,77,Valtteri Bottas,Mercedes,57,+19.680s,4
9,31,Esteban Ocon,Renault,57,+22.803s,2
10,16,Charles Leclerc,Ferrari,56,+1 lap,1
11,26,Daniil Kvyat,AlphaTauri Honda,56,+1 lap,0
12,63,George Russell,Williams Mercedes,56,+1 lap,0
13,5,Sebastian Vettel,Ferrari,56,+1 lap,0
14,6,Nicholas Latifi,Williams Mercedes,56,+1 lap,0
15,7,Kimi Räikkönen,Alfa Romeo Racing Ferrari,56,+1 lap,0
16,99,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,56,+1 lap,0
17,20,Kevin Magnussen,Haas Ferrari,56,+1 lap,0
18,11,Sergio Perez,Racing Point BWT Mercedes,53,DNF,0
NC,18,Lance Stroll,Racing Point BWT Mercedes,2,DNF,0
NC,8,Romain Grosjean,Haas Ferrari,0,DNF,0
