POS,DRIVER,NATIONALITY,CAR,PTS
1,Nigel Mansell,GBR,Williams Renault,108
2,Riccardo Patrese,ITA,Williams Renault,56
3,Michael Schumacher,GER,Benetton Ford,53
4,Ayrton Senna,BRA,McLaren Honda,50
5,Gerhard Berger,AUT,McLaren Honda,49
6,Martin Brundle,GBR,Benetton Ford,38
7,Jean Alesi,FRA,Ferrari,18
8,Mika Hakkinen,FIN,Lotus Ford,11
9,Andrea de Cesaris,ITA,Tyrrell Ilmor,8
10,Michele Alboreto,ITA,Footwork Mugen Honda,6
11,Erik Comas,FRA,Ligier Renault,4
12,Karl Wendlinger,AUT,March Ilmor,3
12,Ivan Capelli,ITA,Ferrari,3
14,Thierry Boutsen,BEL,Ligier Renault,2
15,Pierluigi Martini,ITA,Dallara Ferrari,2
16,Johnny Herbert,GBR,Lotus Ford,2
17,Stefano Modena,ITA,Jordan Yamaha,1
18,Christian Fittipaldi,BRA,Minardi Lamborghini,1
19,Bertrand Gachot,FRA,Venturi Lamborghini,1
