POS,DRIVER,NATIONALITY,CAR,PTS
1,Fernando Alonso,ESP,Renault,134
2,Michael Schumacher,GER,Ferrari,121
3,Felipe Massa,BRA,Ferrari,80
4,Giancarlo Fisichella,ITA,Renault,72
5,Kimi Räikkönen,FIN,McLaren Mercedes,65
6,Jenson Button,GBR,Honda,56
7,Rubens Barrichello,BRA,Honda,30
8,Juan Pablo Montoya,COL,McLaren Mercedes,26
9,Nick Heidfeld,GER,Sauber BMW,23
10,Ralf Schumacher,GER,Toyota,20
11,Pedro de la Rosa,ESP,McLaren Mercedes,19
12,Jarno Trulli,ITA,Toyota,15
13,David Coulthard,GBR,RBR Ferrari,14
14,Mark Webber,AUS,Williams Cosworth,7
15,Jacques Villeneuve,CAN,Sauber BMW,7
16,Robert Kubica,POL,Sauber BMW,6
17,Nico Rosberg,GER,Williams Cosworth,4
18,Christian Klien,AUT,RBR Ferrari,2
19,Vitantonio Liuzzi,ITA,STR Cosworth,1
20,Scott Speed,USA,STR Cosworth,0
21,Tiago Monteiro,POR,MF1 Toyota,0
22,Christijan Albers,NED,MF1 Toyota,0
23,Takuma Sato,JPN,Super Aguri Honda,0
24,Robert Doornbos,NED,RBR Ferrari,0
25,Yuji Ide,JPN,Super Aguri Honda,0
26,Sakon Yamamoto,JPN,Super Aguri Honda,0
27,Franck Montagny,FRA,Super Aguri Honda,0
