POS,DRIVER,NATIONALITY,CAR,PTS
1,Lewis Hamilton,GBR,Mercedes,408
2,Sebastian Vettel,GER,Ferrari,320
3,Kimi Räikkönen,FIN,Ferrari,251
4,Max Verstappen,NED,Red Bull Racing TAG Heuer,249
5,Valtteri Bottas,FIN,Mercedes,247
6,Daniel Ricciardo,AUS,Red Bull Racing TAG Heuer,170
7,Nico Hulkenberg,GER,Renault,69
8,Sergio Perez,MEX,Force India Mercedes,62
9,Kevin Magnussen,DEN,Haas Ferrari,56
10,Carlos Sainz,ESP,Renault,53
11,Fernando Alonso,ESP,McLaren Renault,50
12,Esteban Ocon,FRA,Force India Mercedes,49
13,Charles Leclerc,MON,Sauber Ferrari,39
14,Romain Grosjean,FRA,Haas Ferrari,37
15,Pierre Gasly,FRA,Scuderia Toro Rosso Honda,29
16,Stoffel Vandoorne,BEL,McLaren Renault,12
17,Marcus Ericsson,SWE,Sauber Ferrari,9
18,Lance Stroll,CAN,Williams Mercedes,6
19,Brendon Hartley,NZL,Scuderia Toro Rosso Honda,4
20,Sergey Sirotkin,RUS,Williams Mercedes,1
