POS,DRIVER,NATIONALITY,CAR,PTS
1,Jenson Button,GBR,Brawn Mercedes,95
2,Sebastian Vettel,GER,RBR Renault,84
3,Rubens Barrichello,BRA,Brawn Mercedes,77
4,Mark Webber,AUS,RBR Renault,69.5
5,Lewis Hamilton,GBR,McLaren Mercedes,49
6,Kimi Räikkönen,FIN,Ferrari,48
7,Nico Rosberg,GER,Williams Toyota,34.5
8,Jarno Trulli,ITA,Toyota,32.5
9,Fernando Alonso,ESP,Renault,26
10,Timo Glock,GER,Toyota,24
11,Felipe Massa,BRA,Ferrari,22
12,Heikki Kovalainen,FIN,McLaren Mercedes,22
13,Nick Heidfeld,GER,Sauber BMW,19
14,Robert Kubica,POL,Sauber BMW,17
15,Giancarlo Fisichella,ITA,Ferrari,8
16,Sebastien Buemi,SUI,STR Ferrari,6
17,Adrian Sutil,GER,Force India Mercedes,5
18,Kamui Kobayashi,JPN,Toyota,3
19,Sebastien Bourdais,FRA,STR Ferrari,2
20,Kazuki Nakajima,JPN,Williams Toyota,0
21,Nelson Piquet,BRA,Renault,0
22,Vitantonio Liuzzi,ITA,Force India Mercedes,0
23,Romain Grosjean,FRA,Renault,0
24,Jaime Alguersuari,ESP,STR Ferrari,0
25,Luca Badoer,ITA,Ferrari,0
