POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,44,Lewis Hamilton,Mercedes,66,1:34:31.421,25
2,33,Max Verstappen,Red Bull Racing Honda,66,+29.148s,18
3,77,Valtteri Bottas,Mercedes,66,+33.530s,16
4,11,Sergio Perez,Red Bull Racing Honda,66,+39.735s,12
5,4,Lando Norris,McLaren Mercedes,66,+51.369s,10
6,16,Charles Leclerc,Ferrari,66,+55.781s,8
7,31,Esteban Ocon,Alpine Renault,66,+63.749s,6
8,14,Fernando Alonso,Alpine Renault,66,+64.808s,4
9,3,Daniel Ricciardo,McLaren Mercedes,66,+75.369s,2
10,10,Pierre Gasly,AlphaTauri Honda,66,+76.463s,1
11,55,Carlos Sainz,Ferrari,66,+78.955s,0
12,99,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,65,+1 lap,0
13,5,Sebastian Vettel,Aston Martin Mercedes,65,+1 lap,0
14,18,Lance Stroll,Aston Martin Mercedes,65,+1 lap,0
15,22,Yuki Tsunoda,AlphaTauri Honda,65,+1 lap,0
16,63,George Russell,Williams Mercedes,65,+1 lap,0
17,47,Mick Schumacher,Haas Ferrari,64,+2 laps,0
18,6,Nicholas Latifi,Williams Mercedes,64,+2 laps,0
19,9,Nikita Mazepin,Haas Ferrari,64,+2 laps,0
NC,7,Kimi Räikkönen,Alfa Romeo Racing Ferrari,1,DNF,0
