POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,33,Max Verstappen,Red Bull Racing Honda,56,1:34:36.552,25
2,44,Lewis Hamilton,Mercedes,56,+1.333s,19
3,11,Sergio Perez,Red Bull Racing Honda,56,+42.223s,15
4,16,Charles Leclerc,Ferrari,56,+52.246s,12
5,3,Daniel Ricciardo,McLaren Mercedes,56,+76.854s,10
6,77,Valtteri Bottas,Mercedes,56,+80.128s,8
7,55,Carlos Sainz,Ferrari,56,+83.545s,6
8,4,Lando Norris,McLaren Mercedes,56,+84.395s,4
9,22,Yuki Tsunoda,AlphaTauri Honda,55,+1 lap,2
10,5,Sebastian Vettel,Aston Martin Mercedes,55,+1 lap,1
11,99,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,55,+1 lap,0
12,18,Lance Stroll,Aston Martin Mercedes,55,+1 lap,0
13,7,Kimi Räikkönen,Alfa Romeo Racing Ferrari,55,+1 lap,0
14,63,George Russell,Williams Mercedes,55,+1 lap,0
15,6,Nicholas Latifi,Williams Mercedes,55,+1 lap,0
16,47,Mick Schumacher,Haas Ferrari,54,+2 laps,0
17,9,Nikita Mazepin,Haas Ferrari,54,+2 laps,0
NC,14,Fernando Alonso,Alpine Renault,49,DNF,0
NC,31,Esteban Ocon,Alpine Renault,40,DNF,0
NC,10,Pierre Gasly,AlphaTauri Honda,14,DNF,0
