POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,11,Sergio Perez,Red Bull Racing Honda,51,2:13:36.410,25
2,5,Sebastian Vettel,Aston Martin Mercedes,51,+1.385s,18
3,10,Pierre Gasly,AlphaTauri Honda,51,+2.762s,15
4,16,Charles Leclerc,Ferrari,51,+3.828s,12
5,4,Lando Norris,McLaren Mercedes,51,+4.754s,10
6,14,Fernando Alonso,Alpine Renault,51,+6.382s,8
7,22,Yuki Tsunoda,AlphaTauri Honda,51,+6.624s,6
8,55,Carlos Sainz,Ferrari,51,+7.709s,4
9,3,Daniel Ricciardo,McLaren Mercedes,51,+8.874s,2
10,7,Kimi Räikkönen,Alfa Romeo Racing Ferrari,51,+9.576s,1
11,99,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,51,+10.254s,0
12,77,Valtteri Bottas,Mercedes,51,+11.264s,0
13,47,Mick Schumacher,Haas Ferrari,51,+14.241s,0
14,9,Nikita Mazepin,Haas Ferrari,51,+14.315s,0
15,44,Lewis Hamilton,Mercedes,51,+17.668s,0
16,6,Nicholas Latifi,Williams Mercedes,51,+42.379s,0
17,63,George Russell,Williams Mercedes,48,DNF,0
18,33,Max Verstappen,Red Bull Racing Honda,45,DNF,0
NC,18,Lance Stroll,Aston Martin Mercedes,29,DNF,0
NC,31,Esteban Ocon,Alpine Renault,3,DNF,0
