POS,DRIVER,NATIONALITY,CAR,PTS
1,Juan Manuel Fangio,ARG,Mercedes-Benz,42
2,Jose Froilan Gonzalez,ARG,Ferrari,25.1
3,Mike Hawthorn,GBR,Ferrari,24.6
4,Maurice Trintignant,FRA,Ferrari,17
5,Karl Kling,GER,Mercedes-Benz,12
6,Bill Vukovich,USA,Kurtis Kraft Offenhauser,8
6,Hans Herrmann,GER,Mercedes-Benz,8
8,Nino Farina,ITA,Ferrari,6
8,Jimmy Bryan,USA,Kuzma Offenhauser,6
8,Luigi Musso,ITA,Maserati,6
8,Roberto Mieres,ARG,Maserati,6
12,Jack McGrath,USA,Kurtis Kraft Offenhauser,5
13,Stirling Moss,GBR,Maserati,4.1
13,Onofre Marimon,ARG,Maserati,4.1
15,Robert Manzon,FRA,Ferrari,4
15,Sergio Mantovani,ITA,Maserati,4
17,Prince Bira,THA,Maserati,3
18,Elie Bayol,FRA,Gordini,2
18,Mike Nazaruk,USA,Kurtis Kraft Offenhauser,2
18,Andre Pilette,BEL,Gordini,2
18,Luigi Villoresi,ITA,Lancia,2
18,Umberto Maglioli,ITA,Ferrari,2
23,Troy Ruttman,USA,Kurtis Kraft Offenhauser,1.5
23,Duane Carter,USA,Kurtis Kraft Offenhauser,1.5
25,Alberto Ascari,ITA,Lancia,1.1
26,Jean Behra,FRA,Gordini,0.1
