POS,DRIVER,NATIONALITY,CAR,PTS
1,Nico Rosberg,GER,Mercedes,385
2,Lewis Hamilton,GBR,Mercedes,380
3,Daniel Ricciardo,AUS,Red Bull Racing TAG Heuer,256
4,Sebastian Vettel,GER,Ferrari,212
5,Max Verstappen,NED,Red Bull Racing TAG Heuer,204
6,Kimi Räikkönen,FIN,Ferrari,186
7,Sergio Perez,MEX,Force India Mercedes,101
8,Valtteri Bottas,FIN,Williams Mercedes,85
9,Nico Hulkenberg,GER,Force India Mercedes,72
10,Fernando Alonso,ESP,McLaren Honda,54
11,Felipe Massa,BRA,Williams Mercedes,53
12,Carlos Sainz,ESP,Toro Rosso Ferrari,46
13,Romain Grosjean,FRA,Haas Ferrari,29
14,Daniil Kvyat,RUS,Toro Rosso Ferrari,25
15,Jenson Button,GBR,McLaren Honda,21
16,Kevin Magnussen,DEN,Renault,7
17,Felipe Nasr,BRA,Sauber Ferrari,2
18,Jolyon Palmer,GBR,Renault,1
19,Pascal Wehrlein,GER,MRT Mercedes,1
20,Stoffel Vandoorne,BEL,McLaren Honda,1
21,Esteban Gutierrez,MEX,Haas Ferrari,0
22,Marcus Ericsson,SWE,Sauber Ferrari,0
23,Esteban Ocon,FRA,MRT Mercedes,0
24,Rio Haryanto,INA,MRT Mercedes,0
