POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,11,Jack Brabham,Cooper Climax,75,2:01:47.200,8
2,4,Innes Ireland,Lotus Climax,75,+24.000s,6
3,16,Graham Hill,BRM,75,+56.600s,4
4,7,Stirling Moss,Lotus Climax,75,+57.700s,3
5,2,Wolfgang von Trips,Ferrari,74,+1 lap,2
6,3,Richie Ginther,Ferrari,74,+1 lap,1
7,10,Henry Taylor,Cooper Climax,70,+5 laps,0
8,20,Carel Godin de Beaufort,Cooper Climax,69,+6 laps,0
NC,5,Alan Stacey,Lotus Climax,57,DNF,0
NC,1,Phil Hill,Ferrari,54,DNF,0
NC,14,Jo Bonnier,BRM,54,DNF,0
NC,6,Jim Clark,Lotus Climax,42,DNF,0
NC,18,Maurice Trintignant,Cooper Maserati,39,DNF,0
NC,15,Dan Gurney,BRM,11,DNF,0
NC,8,Chris Bristow,Cooper Climax,9,DNF,0
NC,12,Bruce McLaren,Cooper Climax,8,DNF,0
NC,9,Tony Brooks,Cooper Climax,4,DNF,0
