POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,2,Alain Prost,Williams Renault,72,1:38:45.082,10
2,8,Ayrton Senna,McLaren Ford,72,+79.824s,6
3,26,Mark Blundell,Ligier Renault,71,+1 lap,4
4,23,Christian Fittipaldi,Minardi Ford,71,+1 lap,3
5,30,Jyrki Jarvilehto,Sauber,70,+2 laps,2
6,28,Gerhard Berger,Ferrari,69,DNF,1
7,9,Derek Warwick,Footwork Mugen Honda,69,DNF,0
NC,25,Martin Brundle,Ligier Renault,57,DNF,0
NC,21,Michele Alboreto,Lola Ferrari,55,DNF,0
NC,20,Erik Comas,Larrousse Lamborghini,51,DNF,0
NC,6,Riccardo Patrese,Benetton Ford,46,DNF,0
NC,5,Michael Schumacher,Benetton Ford,39,DNF,0
NC,12,Johnny Herbert,Lotus Ford,38,DNF,0
NC,29,Karl Wendlinger,Sauber,33,DNF,0
NC,14,Rubens Barrichello,Jordan Hart,31,DNF,0
NC,27,Jean Alesi,Ferrari,30,DNF,0
NC,19,Philippe Alliot,Larrousse Lamborghini,27,DNF,0
NC,24,Fabrizio Barbazza,Minardi Ford,21,DNF,0
NC,10,Aguri Suzuki,Footwork Mugen Honda,21,DNF,0
NC,22,Luca Badoer,Lola Ferrari,20,DNF,0
NC,0,Damon Hill,Williams Renault,16,DNF,0
NC,11,Alessandro Zanardi,Lotus Ford,16,DNF,0
NC,7,Michael Andretti,McLaren Ford,4,DNF,0
NC,15,Ivan Capelli,Jordan Hart,2,DNF,0
NC,3,Ukyo Katayama,Tyrrell Yamaha,1,DNF,0
