POS,DRIVER,NATIONALITY,CAR,PTS
1,Niki Lauda,AUT,Ferrari,72
2,Jody Scheckter,RSA,Wolf Ford,55
3,Mario Andretti,USA,Lotus Ford,47
4,Carlos Reutemann,ARG,Ferrari,42
5,James Hunt,GBR,McLaren Ford,40
6,Jochen Mass,GER,McLaren Ford,25
7,Alan Jones,AUS,Shadow Ford,22
8,Gunnar Nilsson,SWE,Lotus Ford,20
8,Patrick Depailler,FRA,Tyrrell Ford,20
10,Jacques Laffite,FRA,Ligier Matra,18
11,Hans-Joachim Stuck,GER,Brabham Alfa Romeo,12
12,Emerson Fittipaldi,BRA,Fittipaldi Ford,11
13,John Watson,GBR,Brabham Alfa Romeo,9
14,Ronnie Peterson,SWE,Tyrrell Ford,7
15,Carlos Pace,BRA,Brabham Alfa Romeo,6
15,Vittorio Brambilla,ITA,Surtees Ford,6
17,Patrick Tambay,FRA,Ensign Ford,5
17,Clay Regazzoni,SUI,Ensign Ford,5
19,Renzo Zorzi,ITA,Shadow Ford,1
19,Jean-Pierre Jarier,FRA,Ligier Matra,1
19,Riccardo Patrese,ITA,Shadow Ford,1
