POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,44,Lewis Hamilton,Mercedes,70,1:33:05.154,25
2,77,Valtteri Bottas,Mercedes,70,+19.783s,18
3,3,Daniel Ricciardo,Red Bull Racing TAG Heuer,70,+35.297s,15
4,5,Sebastian Vettel,Ferrari,70,+35.907s,12
5,11,Sergio Perez,Force India Mercedes,70,+40.476s,10
6,31,Esteban Ocon,Force India Mercedes,70,+40.716s,8
7,7,Kimi Räikkönen,Ferrari,70,+58.632s,6
8,27,Nico Hulkenberg,Renault,70,+60.374s,4
9,18,Lance Stroll,Williams Mercedes,69,+1 lap,2
10,8,Romain Grosjean,Haas Ferrari,69,+1 lap,1
11,30,Jolyon Palmer,Renault,69,+1 lap,0
12,20,Kevin Magnussen,Haas Ferrari,69,+1 lap,0
13,9,Marcus Ericsson,Sauber Ferrari,69,+1 lap,0
14,2,Stoffel Vandoorne,McLaren Honda,69,+1 lap,0
15,94,Pascal Wehrlein,Sauber Ferrari,68,+2 laps,0
16,14,Fernando Alonso,McLaren Honda,66,DNF,0
NC,26,Daniil Kvyat,Toro Rosso,54,DNF,0
NC,33,Max Verstappen,Red Bull Racing TAG Heuer,10,DNF,0
NC,19,Felipe Massa,Williams Mercedes,0,DNF,0
NC,55,Carlos Sainz,Toro Rosso,0,DNF,0
