POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,77,Valtteri Bottas,Mercedes,55,1:34:14.062,25
2,44,Lewis Hamilton,Mercedes,55,+3.899s,18
3,5,Sebastian Vettel,Ferrari,55,+19.330s,15
4,7,Kimi Räikkönen,Ferrari,55,+45.386s,12
5,33,Max Verstappen,Red Bull Racing TAG Heuer,55,+46.269s,10
6,27,Nico Hulkenberg,Renault,55,+85.713s,8
7,11,Sergio Perez,Force India Mercedes,55,+92.062s,6
8,31,Esteban Ocon,Force India Mercedes,55,+98.911s,4
9,14,Fernando Alonso,McLaren Honda,54,+1 lap,2
10,19,Felipe Massa,Williams Mercedes,54,+1 lap,1
11,8,Romain Grosjean,Haas Ferrari,54,+1 lap,0
12,2,Stoffel Vandoorne,McLaren Honda,54,+1 lap,0
13,20,Kevin Magnussen,Haas Ferrari,54,+1 lap,0
14,94,Pascal Wehrlein,Sauber Ferrari,54,+1 lap,0
15,28,Brendon Hartley,Toro Rosso,54,+1 lap,0
16,10,Pierre Gasly,Toro Rosso,54,+1 lap,0
17,9,Marcus Ericsson,Sauber Ferrari,54,+1 lap,0
18,18,Lance Stroll,Williams Mercedes,54,+1 lap,0
NC,55,Carlos Sainz,Renault,31,DNF,0
NC,3,Daniel Ricciardo,Red Bull Racing TAG Heuer,20,DNF,0
