POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,77,Valtteri Bottas,Mercedes,52,1:28:08.743,25
2,5,Sebastian Vettel,Ferrari,52,+0.617s,18
3,7,Kimi Räikkönen,Ferrari,52,+11.000s,15
4,44,Lewis Hamilton,Mercedes,52,+36.320s,12
5,33,Max Verstappen,Red Bull Racing TAG Heuer,52,+60.416s,10
6,11,Sergio Perez,Force India Mercedes,52,+86.788s,8
7,31,Esteban Ocon,Force India Mercedes,52,+95.004s,6
8,27,Nico Hulkenberg,Renault,52,+96.188s,4
9,19,Felipe Massa,Williams Mercedes,51,+1 lap,2
10,55,Carlos Sainz,Toro Rosso,51,+1 lap,1
11,18,Lance Stroll,Williams Mercedes,51,+1 lap,0
12,26,Daniil Kvyat,Toro Rosso,51,+1 lap,0
13,20,Kevin Magnussen,Haas Ferrari,51,+1 lap,0
14,2,Stoffel Vandoorne,McLaren Honda,51,+1 lap,0
15,9,Marcus Ericsson,Sauber Ferrari,51,+1 lap,0
16,94,Pascal Wehrlein,Sauber Ferrari,50,+2 laps,0
NC,3,Daniel Ricciardo,Red Bull Racing TAG Heuer,5,DNF,0
NC,30,Jolyon Palmer,Renault,0,DNF,0
NC,8,Romain Grosjean,Haas Ferrari,0,DNF,0
NC,14,Fernando Alonso,McLaren Honda,0,DNS,0
