POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,33,Max Verstappen,Red Bull Racing TAG Heuer,56,1:30:01.290,25
2,44,Lewis Hamilton,Mercedes,56,+12.770s,18
3,3,Daniel Ricciardo,Red Bull Racing TAG Heuer,56,+22.519s,15
4,5,Sebastian Vettel,Ferrari,56,+37.362s,12
5,77,Valtteri Bottas,Mercedes,56,+56.021s,10
6,11,Sergio Perez,Force India Mercedes,56,+78.630s,8
7,2,Stoffel Vandoorne,McLaren Honda,55,+1 lap,6
8,18,Lance Stroll,Williams Mercedes,55,+1 lap,4
9,19,Felipe Massa,Williams Mercedes,55,+1 lap,2
10,31,Esteban Ocon,Force India Mercedes,55,+1 lap,1
11,14,Fernando Alonso,McLaren Honda,55,+1 lap,0
12,20,Kevin Magnussen,Haas Ferrari,55,+1 lap,0
13,8,Romain Grosjean,Haas Ferrari,55,+1 lap,0
14,10,Pierre Gasly,Toro Rosso,55,+1 lap,0
15,30,Jolyon Palmer,Renault,55,+1 lap,0
16,27,Nico Hulkenberg,Renault,55,+1 lap,0
17,94,Pascal Wehrlein,Sauber Ferrari,55,+1 lap,0
18,9,Marcus Ericsson,Sauber Ferrari,54,+2 laps,0
NC,55,Carlos Sainz,Toro Rosso,29,DNF,0
NC,7,Kimi Räikkönen,Ferrari,0,DNS,0
