POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,33,Max Verstappen,Red Bull Racing TAG Heuer,71,1:36:26.552,25
2,77,Valtteri Bottas,Mercedes,71,+19.678s,18
3,7,Kimi Räikkönen,Ferrari,71,+54.007s,15
4,5,Sebastian Vettel,Ferrari,71,+70.078s,12
5,31,Esteban Ocon,Force India Mercedes,70,+1 lap,10
6,18,Lance Stroll,Williams Mercedes,70,+1 lap,8
7,11,Sergio Perez,Force India Mercedes,70,+1 lap,6
8,20,Kevin Magnussen,Haas Ferrari,70,+1 lap,4
9,44,Lewis Hamilton,Mercedes,70,+1 lap,2
10,14,Fernando Alonso,McLaren Honda,70,+1 lap,1
11,19,Felipe Massa,Williams Mercedes,70,+1 lap,0
12,2,Stoffel Vandoorne,McLaren Honda,70,+1 lap,0
13,10,Pierre Gasly,Toro Rosso,70,+1 lap,0
14,94,Pascal Wehrlein,Sauber Ferrari,69,+2 laps,0
15,8,Romain Grosjean,Haas Ferrari,69,+2 laps,0
NC,55,Carlos Sainz,Renault,59,DNF,0
NC,9,Marcus Ericsson,Sauber Ferrari,55,DNF,0
NC,28,Brendon Hartley,Toro Rosso,30,DNF,0
NC,27,Nico Hulkenberg,Renault,24,DNF,0
NC,3,Daniel Ricciardo,Red Bull Racing TAG Heuer,5,DNF,0
