POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,44,Lewis Hamilton,Mercedes,58,2:03:23.544,25
2,3,Daniel Ricciardo,Red Bull Racing TAG Heuer,58,+4.507s,18
3,77,Valtteri Bottas,Mercedes,58,+8.800s,15
4,55,Carlos Sainz,Toro Rosso,58,+22.822s,12
5,11,Sergio Perez,Force India Mercedes,58,+25.359s,10
6,30,Jolyon Palmer,Renault,58,+27.259s,8
7,2,Stoffel Vandoorne,McLaren Honda,58,+30.388s,6
8,18,Lance Stroll,Williams Mercedes,58,+41.696s,4
9,8,Romain Grosjean,Haas Ferrari,58,+43.282s,2
10,31,Esteban Ocon,Force India Mercedes,58,+44.795s,1
11,19,Felipe Massa,Williams Mercedes,58,+46.536s,0
12,94,Pascal Wehrlein,Sauber Ferrari,56,+2 laps,0
NC,20,Kevin Magnussen,Haas Ferrari,50,DNF,0
NC,27,Nico Hulkenberg,Renault,48,DNF,0
NC,9,Marcus Ericsson,Sauber Ferrari,35,DNF,0
NC,26,Daniil Kvyat,Toro Rosso,10,DNF,0
NC,14,Fernando Alonso,McLaren Honda,8,DNF,0
NC,5,Sebastian Vettel,Ferrari,0,DNF,0
NC,33,Max Verstappen,Red Bull Racing TAG Heuer,0,DNF,0
NC,7,Kimi Räikkönen,Ferrari,0,DNF,0
