POS,DRIVER,NATIONALITY,CAR,PTS
1,Jacques Villeneuve,CAN,Williams Renault,81
DQ,Michael Schumacher,GER,Ferrari,78
2,Heinz-Harald Frentzen,GER,Williams Renault,42
3,David Coulthard,GBR,McLaren Mercedes,36
4,Jean Alesi,FRA,Benetton Renault,36
5,Gerhard Berger,AUT,Benetton Renault,27
6,Mika Hakkinen,FIN,McLaren Mercedes,27
7,Eddie Irvine,GBR,Ferrari,24
8,Giancarlo Fisichella,ITA,Jordan Peugeot,20
9,Olivier Panis,FRA,Prost Mugen Honda,16
10,Johnny Herbert,GBR,Sauber Petronas,15
11,Ralf Schumacher,GER,Jordan Peugeot,13
12,Damon Hill,GBR,Arrows Yamaha,7
13,Rubens Barrichello,BRA,Stewart Ford,6
14,Alexander Wurz,AUT,Benetton Renault,4
15,Jarno Trulli,ITA,Prost Mugen Honda,3
16,Mika Salo,FIN,Tyrrell Ford,2
17,Pedro Diniz,BRA,Arrows Yamaha,2
18,Shinji Nakano,JPN,Prost Mugen Honda,2
19,Nicola Larini,ITA,Sauber Petronas,1
