POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,8,Fernando Alonso,Ferrari,67,1:27:38.864,25
2,7,Felipe Massa,Ferrari,67,+4.196s,18
3,5,Sebastian Vettel,RBR Renault,67,+5.121s,15
4,2,Lewis Hamilton,McLaren Mercedes,67,+26.896s,12
5,1,Jenson Button,McLaren Mercedes,67,+29.482s,10
6,6,Mark Webber,RBR Renault,67,+43.606s,8
7,11,Robert Kubica,Renault,66,+1 lap,6
8,4,Nico Rosberg,Mercedes,66,+1 lap,4
9,3,Michael Schumacher,Mercedes,66,+1 lap,2
10,12,Vitaly Petrov,Renault,66,+1 lap,1
11,23,Kamui Kobayashi,Sauber Ferrari,66,+1 lap,0
12,9,Rubens Barrichello,Williams Cosworth,66,+1 lap,0
13,10,Nico Hulkenberg,Williams Cosworth,66,+1 lap,0
14,22,Pedro de la Rosa,Sauber Ferrari,66,+1 lap,0
15,17,Jaime Alguersuari,STR Ferrari,66,+1 lap,0
16,15,Vitantonio Liuzzi,Force India Mercedes,65,+2 laps,0
17,14,Adrian Sutil,Force India Mercedes,65,+2 laps,0
18,24,Timo Glock,Virgin Cosworth,64,+3 laps,0
19,21,Bruno Senna,HRT Cosworth,63,+4 laps,0
NC,19,Heikki Kovalainen,Lotus Cosworth,56,DNF,0
NC,25,Lucas di Grassi,Virgin Cosworth,50,DNF,0
NC,20,Sakon Yamamoto,HRT Cosworth,19,DNF,0
NC,18,Jarno Trulli,Lotus Cosworth,3,DNF,0
NC,16,Sebastien Buemi,STR Ferrari,1,DNF,0
