POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,2,Lewis Hamilton,McLaren Mercedes,58,1:28:47.620,25
2,1,Jenson Button,McLaren Mercedes,58,+2.645s,18
3,6,Mark Webber,RBR Renault,58,+24.285s,15
4,3,Michael Schumacher,Mercedes,58,+31.110s,12
5,4,Nico Rosberg,Mercedes,58,+32.266s,10
6,11,Robert Kubica,Renault,58,+32.824s,8
7,7,Felipe Massa,Ferrari,58,+36.635s,6
8,8,Fernando Alonso,Ferrari,58,+46.544s,4
9,14,Adrian Sutil,Force India Mercedes,58,+49.029s,2
10,23,Kamui Kobayashi,Sauber Ferrari,58,+65.650s,1
11,22,Pedro de la Rosa,Sauber Ferrari,58,+65.944s,0
12,17,Jaime Alguersuari,STR Ferrari,58,+67.800s,0
13,15,Vitantonio Liuzzi,Force India Mercedes,57,+1 lap,0
14,9,Rubens Barrichello,Williams Cosworth,57,+1 lap,0
15,12,Vitaly Petrov,Renault,57,+1 lap,0
16,16,Sebastien Buemi,STR Ferrari,57,+1 lap,0
17,10,Nico Hulkenberg,Williams Cosworth,57,+1 lap,0
18,24,Timo Glock,Virgin Cosworth,55,+3 laps,0
19,25,Lucas di Grassi,Virgin Cosworth,55,+3 laps,0
20,20,Karun Chandhok,HRT Cosworth,52,DNF,0
NC,21,Bruno Senna,HRT Cosworth,46,DNF,0
NC,5,Sebastian Vettel,RBR Renault,39,DNF,0
NC,19,Heikki Kovalainen,Lotus Cosworth,33,DNF,0
NC,18,Jarno Trulli,Lotus Cosworth,32,DNF,0
