POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,15,Jean-Pierre Jabouille,Renault,54,1:26:15.730,9
2,27,Alan Jones,Williams Ford,54,+0.820s,6
3,28,Carlos Reutemann,Williams Ford,54,+19.360s,4
4,26,Jacques Laffite,Ligier Ford,54,+42.020s,3
5,5,Nelson Piquet,Brabham Ford,54,+62.810s,2
6,12,Elio de Angelis,Lotus Ford,54,+74.970s,1
7,8,Alain Prost,McLaren Ford,54,+93.410s,0
8,2,Gilles Villeneuve,Ferrari,53,+1 lap,0
9,16,Rene Arnoux,Renault,53,+1 lap,0
10,6,Hector Rebaque,Brabham Ford,53,+1 lap,0
11,20,Emerson Fittipaldi,Fittipaldi Ford,53,+1 lap,0
12,9,Marc Surer,ATS Ford,53,+1 lap,0
13,1,Jody Scheckter,Ferrari,53,+1 lap,0
14,29,Riccardo Patrese,Arrows Ford,53,+1 lap,0
15,50,Rupert Keegan,Williams Ford,52,+2 laps,0
16,21,Keke Rosberg,Fittipaldi Ford,52,+2 laps,0
NC,43,Nigel Mansell,Lotus Ford,40,DNF,0
NC,7,John Watson,McLaren Ford,34,DNF,0
NC,23,Bruno Giacomelli,Alfa Romeo,28,DNF,0
NC,3,Jean-Pierre Jarier,Tyrrell Ford,25,DNF,0
NC,25,Didier Pironi,Ligier Ford,25,DNF,0
NC,31,Eddie Cheever,Osella Ford,23,DNF,0
NC,4,Derek Daly,Tyrrell Ford,12,DNF,0
NC,11,Mario Andretti,Lotus Ford,6,DNF,0
NC,14,Jan Lammers,Ensign Ford,,DNS,0
NC,30,Jochen Mass,Arrows Ford,,DNS,0
