POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,27,Alan Jones,Williams Ford,53,1:43:24.380,9
2,5,Nelson Piquet,Brabham Ford,53,+24.590s,6
3,21,Keke Rosberg,Fittipaldi Ford,53,+78.640s,4
4,4,Derek Daly,Tyrrell Ford,53,+83.480s,3
5,23,Bruno Giacomelli,Alfa Romeo,52,+1 lap,2
6,8,Alain Prost,McLaren Ford,52,+1 lap,1
7,6,Ricardo Zunino,Brabham Ford,51,+2 laps,0
NC,22,Patrick Depailler,Alfa Romeo,46,DNF,0
NC,1,Jody Scheckter,Ferrari,45,DNF,0
NC,14,Clay Regazzoni,Ensign Ford,44,+9 laps,0
NC,20,Emerson Fittipaldi,Fittipaldi Ford,37,+16 laps,0
NC,2,Gilles Villeneuve,Ferrari,36,DNF,0
NC,26,Jacques Laffite,Ligier Ford,30,DNF,0
NC,29,Riccardo Patrese,Arrows Ford,27,DNF,0
NC,9,Marc Surer,ATS Ford,27,DNF,0
NC,11,Mario Andretti,Lotus Ford,20,DNF,0
NC,30,Jochen Mass,Arrows Ford,20,DNF,0
NC,28,Carlos Reutemann,Williams Ford,12,DNF,0
NC,12,Elio de Angelis,Lotus Ford,7,DNF,0
NC,7,John Watson,McLaren Ford,5,DNF,0
NC,15,Jean-Pierre Jabouille,Renault,3,DNF,0
NC,16,Rene Arnoux,Renault,2,DNF,0
NC,25,Didier Pironi,Ligier Ford,1,DNF,0
NC,3,Jean-Pierre Jarier,Tyrrell Ford,1,DNF,0
NC,18,Dave Kennedy,Shadow Ford,,DNS,0
NC,10,Jan Lammers,ATS Ford,,DNS,0
NC,17,Stefan Johansson,Shadow Ford,,DNS,0
NC,31,Eddie Cheever,Osella Ford,,DNS,0
