POS,DRIVER,NATIONALITY,CAR,PTS
1,Michael Schumacher,GER,Ferrari,93
2,Kimi Räikkönen,FIN,McLaren Mercedes,91
3,Juan Pablo Montoya,COL,Williams BMW,82
4,Rubens Barrichello,BRA,Ferrari,65
5,Ralf Schumacher,GER,Williams BMW,58
6,Fernando Alonso,ESP,Renault,55
7,David Coulthard,GBR,McLaren Mercedes,51
8,Jarno Trulli,ITA,Renault,33
9,Jenson Button,GBR,BAR Honda,17
10,Mark Webber,AUS,Jaguar Cosworth,17
11,Heinz-Harald Frentzen,GER,Sauber Petronas,13
12,Giancarlo Fisichella,ITA,Jordan Ford,12
13,Cristiano da Matta,BRA,Toyota,10
14,Nick Heidfeld,GER,Sauber Petronas,6
15,Olivier Panis,FRA,Toyota,6
16,Jacques Villeneuve,CAN,BAR Honda,6
17,Marc Gene,ESP,Williams BMW,4
18,Takuma Sato,JPN,BAR Honda,3
19,Ralph Firman,IRL,Jordan Ford,1
20,Justin Wilson,GBR,Jaguar Cosworth,1
21,Antonio Pizzonia,BRA,Jaguar Cosworth,0
22,Jos Verstappen,NED,Minardi Cosworth,0
23,Nicolas Kiesa,DEN,Minardi Cosworth,0
24,Zsolt Baumgartner,HUN,Jordan Ford,0
