POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,5,Fernando Alonso,Renault,62,1:27:41.921,10
2,1,Michael Schumacher,Ferrari,62,+0.215s,8
3,10,Alexander Wurz,McLaren Mercedes,62,+27.554s,6
4,11,Jacques Villeneuve,Sauber Petronas,62,+64.442s,5
5,16,Jarno Trulli,Toyota,62,+70.258s,4
6,8,Nick Heidfeld,Williams BMW,62,+71.282s,3
7,7,Mark Webber,Williams BMW,62,+83.297s,2
8,15,Vitantonio Liuzzi,RBR Cosworth,62,+83.764s,1
9,17,Ralf Schumacher,Toyota,62,+95.841s,0
10,12,Felipe Massa,Sauber Petronas,61,+1 lap,0
11,14,David Coulthard,RBR Cosworth,61,+1 lap,0
12,19,Narain Karthikeyan,Jordan Toyota,61,+1 lap,0
13,18,Tiago Monteiro,Jordan Toyota,60,+2 laps,0
NC,21,Christijan Albers,Minardi Cosworth,20,DNF,0
NC,2,Rubens Barrichello,Ferrari,18,DNF,0
NC,9,Kimi Räikkönen,McLaren Mercedes,9,DNF,0
NC,20,Patrick Friesacher,Minardi Cosworth,8,DNF,0
NC,6,Giancarlo Fisichella,Renault,5,DNF,0
