POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,9,Kimi Räikkönen,McLaren Mercedes,66,1:27:16.830,10
2,5,Fernando Alonso,Renault,66,+27.652s,8
3,16,Jarno Trulli,Toyota,66,+45.947s,6
4,17,Ralf Schumacher,Toyota,66,+46.719s,5
5,6,Giancarlo Fisichella,Renault,66,+57.936s,4
6,7,Mark Webber,Williams BMW,66,+68.542s,3
7,10,Juan Pablo Montoya,McLaren Mercedes,65,+1 lap,2
8,14,David Coulthard,RBR Cosworth,65,+1 lap,1
9,2,Rubens Barrichello,Ferrari,65,+1 lap,0
10,8,Nick Heidfeld,Williams BMW,65,+1 lap,0
11,12,Felipe Massa,Sauber Petronas,63,DNF,0
12,18,Tiago Monteiro,Jordan Toyota,63,+3 laps,0
13,19,Narain Karthikeyan,Jordan Toyota,63,+3 laps,0
NC,11,Jacques Villeneuve,Sauber Petronas,51,DNF,0
NC,1,Michael Schumacher,Ferrari,46,DNF,0
NC,21,Christijan Albers,Minardi Cosworth,19,DNF,0
NC,20,Patrick Friesacher,Minardi Cosworth,11,DNF,0
NC,15,Vitantonio Liuzzi,RBR Cosworth,9,DNF,0
