POS,DRIVER,NATIONALITY,CAR,PTS
1,Alain Prost,FRA,McLaren TAG,72
2,Nigel Mansell,GBR,Williams Honda,70
3,Nelson Piquet,BRA,Williams Honda,69
4,Ayrton Senna,BRA,Lotus Renault,55
5,Stefan Johansson,SWE,Ferrari,23
6,Keke Rosberg,FIN,McLaren TAG,22
7,Gerhard Berger,AUT,Benetton BMW,17
8,Jacques Laffite,FRA,Ligier Renault,14
9,Michele Alboreto,ITA,Ferrari,14
10,Rene Arnoux,FRA,Ligier Renault,14
11,Martin Brundle,GBR,Tyrrell Renault,8
12,Alan Jones,AUS,Lola Ford,4
13,Johnny Dumfries,GBR,Lotus Renault,3
14,Philippe Streiff,FRA,Tyrrell Renault,3
15,Teo Fabi,ITA,Benetton BMW,2
16,Patrick Tambay,FRA,Lola Ford,2
17,Riccardo Patrese,ITA,Brabham BMW,2
18,Philippe Alliot,FRA,Ligier Renault,1
19,Christian Danner,GER,Arrows BMW,1
