POS,DRIVER,NATIONALITY,CAR,PTS
1,Fernando Alonso,ESP,Renault,133
2,Kimi Räikkönen,FIN,McLaren Mercedes,112
3,Michael Schumacher,GER,Ferrari,62
4,Juan Pablo Montoya,COL,McLaren Mercedes,60
5,Giancarlo Fisichella,ITA,Renault,58
6,Ralf Schumacher,GER,Toyota,45
7,Jarno Trulli,ITA,Toyota,43
8,Rubens Barrichello,BRA,Ferrari,38
9,Jenson Button,GBR,BAR Honda,37
10,Mark Webber,AUS,Williams BMW,36
11,Nick Heidfeld,GER,Williams BMW,28
12,David Coulthard,GBR,RBR Cosworth,24
13,Felipe Massa,BRA,Sauber Petronas,11
14,Jacques Villeneuve,CAN,Sauber Petronas,9
15,Christian Klien,AUT,RBR Cosworth,9
16,Tiago Monteiro,POR,Jordan Toyota,7
17,Alexander Wurz,AUT,McLaren Mercedes,6
18,Narain Karthikeyan,IND,Jordan Toyota,5
19,Christijan Albers,NED,Minardi Cosworth,4
20,Pedro de la Rosa,ESP,McLaren Mercedes,4
21,Patrick Friesacher,AUT,Minardi Cosworth,3
22,Antonio Pizzonia,BRA,Williams BMW,2
23,Takuma Sato,JPN,BAR Honda,1
24,Vitantonio Liuzzi,ITA,RBR Cosworth,1
25,Robert Doornbos,MON,Minardi Cosworth,0
