POS,DRIVER,NATIONALITY,CAR,PTS
1,Lewis Hamilton,GBR,Mercedes,347
2,Valtteri Bottas,FIN,Mercedes,223
3,Max Verstappen,NED,Red Bull Racing Honda,214
4,Sergio Perez,MEX,Racing Point BWT Mercedes,125
5,Daniel Ricciardo,AUS,Renault,119
6,Carlos Sainz,ESP,McLaren Renault,105
7,Alexander Albon,THA,Red Bull Racing Honda,105
8,Charles Leclerc,MON,Ferrari,98
9,Lando Norris,GBR,McLaren Renault,97
10,Pierre Gasly,FRA,AlphaTauri Honda,75
11,Lance Stroll,CAN,Racing Point BWT Mercedes,75
12,Esteban Ocon,FRA,Renault,62
13,Sebastian Vettel,GER,Ferrari,33
14,Daniil Kvyat,RUS,AlphaTauri Honda,32
15,Nico Hulkenberg,GER,Racing Point BWT Mercedes,10
16,Kimi Räikkönen,FIN,Alfa Romeo Racing Ferrari,4
17,Antonio Giovinazzi,ITA,Alfa Romeo Racing Ferrari,4
18,George Russell,GBR,Williams Mercedes,3
19,Romain Grosjean,FRA,Haas Ferrari,2
20,Kevin Magnussen,DEN,Haas Ferrari,1
21,Nicholas Latifi,CAN,Williams Mercedes,0
22,Jack Aitken,GBR,Williams Mercedes,0
23,Pietro Fittipaldi,BRA,Haas Ferrari,0
