POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,44,Lewis Hamilton,Mercedes,53,1:27:25.181,25
2,77,Valtteri Bottas,Mercedes,53,+2.545s,18
3,5,Sebastian Vettel,Ferrari,53,+7.487s,15
4,7,Kimi Räikkönen,Ferrari,53,+16.543s,12
5,33,Max Verstappen,Red Bull Racing TAG Heuer,53,+31.016s,10
6,3,Daniel Ricciardo,Red Bull Racing TAG Heuer,53,+80.451s,8
7,16,Charles Leclerc,Sauber Ferrari,53,+98.390s,6
8,20,Kevin Magnussen,Haas Ferrari,52,+1 lap,4
9,31,Esteban Ocon,Force India Mercedes,52,+1 lap,2
10,11,Sergio Perez,Force India Mercedes,52,+1 lap,1
11,8,Romain Grosjean,Haas Ferrari,52,+1 lap,0
12,27,Nico Hulkenberg,Renault,52,+1 lap,0
13,9,Marcus Ericsson,Sauber Ferrari,52,+1 lap,0
14,14,Fernando Alonso,McLaren Renault,52,+1 lap,0
15,18,Lance Stroll,Williams Mercedes,52,+1 lap,0
16,2,Stoffel Vandoorne,McLaren Renault,51,+2 laps,0
17,55,Carlos Sainz,Renault,51,+2 laps,0
18,35,Sergey Sirotkin,Williams Mercedes,51,+2 laps,0
NC,10,Pierre Gasly,Scuderia Toro Rosso Honda,4,DNF,0
NC,28,Brendon Hartley,Scuderia Toro Rosso Honda,4,DNF,0
