POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,3,Daniel Ricciardo,Red Bull Racing TAG Heuer,56,1:35:36.380,25
2,77,Valtteri Bottas,Mercedes,56,+8.894s,18
3,7,Kimi Räikkönen,Ferrari,56,+9.637s,15
4,44,Lewis Hamilton,Mercedes,56,+16.985s,12
5,33,Max Verstappen,Red Bull Racing TAG Heuer,56,+20.436s,10
6,27,Nico Hulkenberg,Renault,56,+21.052s,8
7,14,Fernando Alonso,McLaren Renault,56,+30.639s,6
8,5,Sebastian Vettel,Ferrari,56,+35.286s,4
9,55,Carlos Sainz,Renault,56,+35.763s,2
10,20,Kevin Magnussen,Haas Ferrari,56,+39.594s,1
11,31,Esteban Ocon,Force India Mercedes,56,+44.050s,0
12,11,Sergio Perez,Force India Mercedes,56,+44.725s,0
13,2,Stoffel Vandoorne,McLaren Renault,56,+49.373s,0
14,18,Lance Stroll,Williams Mercedes,56,+55.490s,0
15,35,Sergey Sirotkin,Williams Mercedes,56,+58.241s,0
16,9,Marcus Ericsson,Sauber Ferrari,56,+62.604s,0
17,8,Romain Grosjean,Haas Ferrari,56,+65.296s,0
18,10,Pierre Gasly,Scuderia Toro Rosso Honda,56,+66.330s,0
19,16,Charles Leclerc,Sauber Ferrari,56,+82.575s,0
20,28,Brendon Hartley,Scuderia Toro Rosso Honda,51,DNF,0
