POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,5,Sebastian Vettel,Ferrari,68,1:28:31.377,25
2,77,Valtteri Bottas,Mercedes,68,+7.376s,18
3,33,Max Verstappen,Red Bull Racing TAG Heuer,68,+8.360s,15
4,3,Daniel Ricciardo,Red Bull Racing TAG Heuer,68,+20.892s,12
5,44,Lewis Hamilton,Mercedes,68,+21.559s,10
6,7,Kimi Räikkönen,Ferrari,68,+27.184s,8
7,27,Nico Hulkenberg,Renault,67,+1 lap,6
8,55,Carlos Sainz,Renault,67,+1 lap,4
9,31,Esteban Ocon,Force India Mercedes,67,+1 lap,2
10,16,Charles Leclerc,Sauber Ferrari,67,+1 lap,1
11,10,Pierre Gasly,Scuderia Toro Rosso Honda,67,+1 lap,0
12,8,Romain Grosjean,Haas Ferrari,67,+1 lap,0
13,20,Kevin Magnussen,Haas Ferrari,67,+1 lap,0
14,11,Sergio Perez,Force India Mercedes,67,+1 lap,0
15,9,Marcus Ericsson,Sauber Ferrari,66,+2 laps,0
16,2,Stoffel Vandoorne,McLaren Renault,66,+2 laps,0
17,35,Sergey Sirotkin,Williams Mercedes,66,+2 laps,0
NC,14,Fernando Alonso,McLaren Renault,40,DNF,0
NC,28,Brendon Hartley,Scuderia Toro Rosso Honda,0,DNF,0
NC,18,Lance Stroll,Williams Mercedes,0,DNF,0
