POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,12,Stirling Moss,Mercedes-Benz,90,3:07:21.200,9
2,10,Juan Manuel Fangio,Mercedes-Benz,90,+0.200s,6
3,14,Karl Kling,Mercedes-Benz,90,+71.800s,4
4,50,Piero Taruffi,Mercedes-Benz,89,+1 lap,3
5,4,Luigi Musso,Maserati,89,+1 lap,2
6,16,Mike Hawthorn,Ferrari,,SHC,0
6,16,Eugenio Castellotti,Ferrari,87,+3 laps,0
7,26,Mike Sparken,Gordini,81,+9 laps,0
8,46,Lance Macklin,Maserati,79,+11 laps,0
9,28,Ken Wharton,Vanwall,,SHC,0
9,28,Harry Schell,Vanwall,72,+18 laps,0
NC,18,Maurice Trintignant,Ferrari,59,DNF,0
NC,6,Roberto Mieres,Maserati,47,DNF,0
NC,40,Jack Brabham,Cooper Bristol,30,DNF,0
NC,32,Kenneth McAlpine,Connaught Alta,30,DNF,0
NC,42,Peter Collins,Maserati,28,DNF,0
NC,24,Hermano da Silva Ramos,Gordini,26,DNF,0
NC,44,Roy Salvadori,Maserati,23,DNF,0
NC,48,Horace Gould,Maserati,22,DNF,0
NC,30,Harry Schell,Vanwall,20,DNF,0
NC,36,Tony Rolt,Connaught Alta,,SHC,0
NC,36,Peter Walker,Connaught Alta,19,DNF,0
NC,38,Leslie Marr,Connaught Alta,18,DNF,0
NC,20,Eugenio Castellotti,Ferrari,16,DNF,0
NC,8,Andre Simon,Maserati,9,DNF,0
NC,2,Jean Behra,Maserati,9,DNF,0
NC,22,Robert Manzon,Gordini,4,DNF,0
