POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,5,Nigel Mansell,Williams Renault,69,1:38:08.459,10
2,6,Riccardo Patrese,Williams Renault,69,+46.447s,6
3,20,Martin Brundle,Benetton Ford,69,+72.579s,4
4,11,Mika Hakkinen,Lotus Ford,68,+1 lap,3
5,26,Erik Comas,Ligier Renault,68,+1 lap,2
6,12,Johnny Herbert,Lotus Ford,68,+1 lap,1
7,9,Michele Alboreto,Footwork Mugen Honda,68,+1 lap,0
8,24,Gianni Morbidelli,Minardi Lamborghini,68,+1 lap,0
9,21,Jyrki Jarvilehto,Dallara Ferrari,67,+2 laps,0
10,22,Pierluigi Martini,Dallara Ferrari,67,+2 laps,0
11,3,Olivier Grouillard,Tyrrell Ilmor,66,+3 laps,0
NC,27,Jean Alesi,Ferrari,61,DNF,0
NC,4,Andrea de Cesaris,Tyrrell Ilmor,51,DNF,0
NC,30,Ukyo Katayama,Venturi Lamborghini,49,DNF,0
NC,25,Thierry Boutsen,Ligier Renault,46,DNF,0
NC,28,Ivan Capelli,Ferrari,38,DNF,0
NC,16,Karl Wendlinger,March Ilmor,33,DNF,0
NC,32,Stefano Modena,Jordan Yamaha,25,DNF,0
NC,10,Aguri Suzuki,Footwork Mugen Honda,20,DNF,0
NC,19,Michael Schumacher,Benetton Ford,17,DNF,0
NC,2,Gerhard Berger,McLaren Honda,10,DNF,0
NC,15,Gabriele Tarquini,Fondmetal Ford,6,DNF,0
