POS,DRIVER,NATIONALITY,CAR,PTS
1,Alberto Ascari,ITA,Ferrari,36
2,Nino Farina,ITA,Ferrari,24
3,Piero Taruffi,ITA,Ferrari,22
4,Rudi Fischer,SUI,Ferrari,10
4,Mike Hawthorn,GBR,Cooper Bristol,10
6,Robert Manzon,FRA,Gordini,9
7,Troy Ruttman,USA,Kuzma Offenhauser,8
7,Luigi Villoresi,ITA,Ferrari,8
9,Jose Froilan Gonzalez,ARG,Maserati,6.5
10,Jim Rathmann,USA,Kurtis Kraft Offenhauser,6
10,Jean Behra,FRA,Gordini,6
12,Sam Hanks,USA,Kurtis Kraft Offenhauser,4
13,Ken Wharton,GBR,null,3
13,Duane Carter,USA,Lesovsky Offenhauser,3
13,Dennis Poore,GBR,Connaught Lea Francis,3
16,Alan Brown,GBR,Cooper Bristol,2
16,Art Cross,USA,Kurtis Kraft Offenhauser,2
16,Paul Frere,BEL,Simca-Gordini,2
16,Maurice Trintignant,FRA,Gordini,2
16,Eric Thompson,GBR,Connaught Lea Francis,2
16,Felice Bonetto,ITA,Maserati,2
22,Bill Vukovich,USA,Kurtis Kraft Offenhauser,1
