POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,1,Michael Schumacher,Ferrari,62,1:28:12.058,10
2,6,Kimi Räikkönen,McLaren Mercedes,62,+1.882s,8
3,2,Rubens Barrichello,Ferrari,62,+2.291s,6
4,4,Ralf Schumacher,Williams BMW,62,+8.803s,5
5,5,David Coulthard,McLaren Mercedes,62,+9.411s,4
6,8,Fernando Alonso,Renault,62,+43.689s,3
7,3,Juan Pablo Montoya,Williams BMW,62,+45.271s,2
8,17,Jenson Button,BAR Honda,61,+1 lap,1
9,20,Olivier Panis,Toyota,61,+1 lap,0
10,9,Nick Heidfeld,Sauber Petronas,61,+1 lap,0
11,10,Heinz-Harald Frentzen,Sauber Petronas,61,+1 lap,0
12,21,Cristiano da Matta,Toyota,61,+1 lap,0
13,7,Jarno Trulli,Renault,61,+1 lap,0
14,15,Antonio Pizzonia,Jaguar Cosworth,60,+2 laps,0
15,11,Giancarlo Fisichella,Jordan Ford,57,DNF,0
NC,14,Mark Webber,Jaguar Cosworth,54,DNF,0
NC,12,Ralph Firman,Jordan Ford,51,DNF,0
NC,19,Jos Verstappen,Minardi Cosworth,38,DNF,0
NC,18,Justin Wilson,Minardi Cosworth,23,DNF,0
NC,16,Jacques Villeneuve,BAR Honda,19,DNF,0
