POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,2,Rubens Barrichello,Ferrari,60,1:28:37.554,10
2,3,Juan Pablo Montoya,Williams BMW,60,+5.462s,8
3,6,Kimi Räikkönen,McLaren Mercedes,60,+10.656s,6
4,1,Michael Schumacher,Ferrari,60,+25.648s,5
5,5,David Coulthard,McLaren Mercedes,60,+36.827s,4
6,7,Jarno Trulli,Renault,60,+43.067s,3
7,21,Cristiano da Matta,Toyota,60,+45.085s,2
8,17,Jenson Button,BAR Honda,60,+45.478s,1
9,4,Ralf Schumacher,Williams BMW,60,+58.032s,0
10,16,Jacques Villeneuve,BAR Honda,60,+63.569s,0
11,20,Olivier Panis,Toyota,60,+65.207s,0
12,10,Heinz-Harald Frentzen,Sauber Petronas,60,+65.564s,0
13,12,Ralph Firman,Jordan Ford,59,+1 lap,0
14,14,Mark Webber,Jaguar Cosworth,59,+1 lap,0
15,19,Jos Verstappen,Minardi Cosworth,58,+2 laps,0
16,18,Justin Wilson,Minardi Cosworth,58,+2 laps,0
17,9,Nick Heidfeld,Sauber Petronas,58,+2 laps,0
NC,8,Fernando Alonso,Renault,52,DNF,0
NC,11,Giancarlo Fisichella,Jordan Ford,44,DNF,0
NC,15,Antonio Pizzonia,Jaguar Cosworth,32,DNF,0
