POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,1,Michael Schumacher,Ferrari,73,1:33:35.997,10
2,6,Kimi Räikkönen,McLaren Mercedes,73,+18.258s,8
3,10,Heinz-Harald Frentzen,Sauber Petronas,73,+37.964s,6
4,7,Jarno Trulli,Renault,73,+48.329s,5
5,9,Nick Heidfeld,Sauber Petronas,73,+56.403s,4
6,3,Juan Pablo Montoya,Williams BMW,72,+1 lap,3
7,11,Giancarlo Fisichella,Jordan Ford,72,+1 lap,2
8,15,Justin Wilson,Jaguar Cosworth,71,+2 laps,1
9,21,Cristiano da Matta,Toyota,71,+2 laps,0
10,19,Jos Verstappen,Minardi Cosworth,69,+4 laps,0
11,18,Nicolas Kiesa,Minardi Cosworth,69,+4 laps,0
NC,16,Jacques Villeneuve,BAR Honda,63,DNF,0
NC,12,Ralph Firman,Jordan Ford,48,DNF,0
NC,5,David Coulthard,McLaren Mercedes,45,DNF,0
NC,8,Fernando Alonso,Renault,44,DNF,0
NC,17,Jenson Button,BAR Honda,41,DNF,0
NC,20,Olivier Panis,Toyota,27,DNF,0
NC,14,Mark Webber,Jaguar Cosworth,21,DNF,0
NC,4,Ralf Schumacher,Williams BMW,21,DNF,0
NC,2,Rubens Barrichello,Ferrari,2,DNF,0
