POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,1,Michael Schumacher,Ferrari,70,1:31:13.591,10
2,4,Ralf Schumacher,Williams BMW,70,+0.784s,8
3,3,Juan Pablo Montoya,Williams BMW,70,+1.355s,6
4,8,Fernando Alonso,Renault,70,+4.481s,5
5,2,Rubens Barrichello,Ferrari,70,+64.261s,4
6,6,Kimi Räikkönen,McLaren Mercedes,70,+70.502s,3
7,14,Mark Webber,Jaguar Cosworth,69,+1 lap,2
8,20,Olivier Panis,Toyota,69,+1 lap,1
9,19,Jos Verstappen,Minardi Cosworth,68,+2 laps,0
10,15,Antonio Pizzonia,Jaguar Cosworth,66,DNF,0
11,21,Cristiano da Matta,Toyota,64,DNF,0
NC,18,Justin Wilson,Minardi Cosworth,60,DNF,0
NC,17,Jenson Button,BAR Honda,51,DNF,0
NC,5,David Coulthard,McLaren Mercedes,47,DNF,0
NC,9,Nick Heidfeld,Sauber Petronas,47,DNF,0
NC,7,Jarno Trulli,Renault,22,DNF,0
NC,11,Giancarlo Fisichella,Jordan Ford,20,DNF,0
NC,12,Ralph Firman,Jordan Ford,20,DNF,0
NC,16,Jacques Villeneuve,BAR Honda,14,DNF,0
NC,10,Heinz-Harald Frentzen,Sauber Petronas,6,DNF,0
