POS,DRIVER,NATIONALITY,CAR,PTS
1,Sebastian Vettel,GER,Red Bull Racing Renault,397
2,Fernando Alonso,ESP,Ferrari,242
3,Mark Webber,AUS,Red Bull Racing Renault,199
4,Lewis Hamilton,GBR,Mercedes,189
5,Kimi Räikkönen,FIN,Lotus Renault,183
6,Nico Rosberg,GER,Mercedes,171
7,Romain Grosjean,FRA,Lotus Renault,132
8,Felipe Massa,BRA,Ferrari,112
9,Jenson Button,GBR,McLaren Mercedes,73
10,Nico Hulkenberg,GER,Sauber Ferrari,51
11,Sergio Perez,MEX,McLaren Mercedes,49
12,Paul di Resta,GBR,Force India Mercedes,48
13,Adrian Sutil,GER,Force India Mercedes,29
14,Daniel Ricciardo,AUS,STR Ferrari,20
15,Jean-Eric Vergne,FRA,STR Ferrari,13
16,Esteban Gutierrez,MEX,Sauber Ferrari,6
17,Valtteri Bottas,FIN,Williams Renault,4
18,Pastor Maldonado,VEN,Williams Renault,1
19,Jules Bianchi,FRA,Marussia Cosworth,0
20,Charles Pic,FRA,Caterham Renault,0
21,Heikki Kovalainen,FIN,Lotus Renault,0
22,Giedo van der Garde,NED,Caterham Renault,0
23,Max Chilton,GBR,Marussia Cosworth,0
