POS,DRIVER,NATIONALITY,CAR,PTS
1,Alain Prost,FRA,McLaren Honda,76
2,Ayrton Senna,BRA,McLaren Honda,60
3,Riccardo Patrese,ITA,Williams Renault,40
4,Nigel Mansell,GBR,Ferrari,38
5,Thierry Boutsen,BEL,Williams Renault,37
6,Alessandro Nannini,ITA,Benetton Ford,32
7,Gerhard Berger,AUT,Ferrari,21
8,Nelson Piquet,BRA,Lotus Judd,12
9,Jean Alesi,FRA,Tyrrell Ford,8
10,Derek Warwick,GBR,Arrows Ford,7
11,Stefan Johansson,SWE,Onyx Ford,6
11,Michele Alboreto,ITA,Lola Lamborghini,6
11,Eddie Cheever,USA,Arrows Ford,6
14,Johnny Herbert,GBR,Tyrrell Ford,5
15,Pierluigi Martini,ITA,Minardi Ford,5
16,Andrea de Cesaris,ITA,Dallara Ford,4
16,Mauricio Gugelmin,BRA,March Judd,4
16,Stefano Modena,ITA,Brabham Judd,4
19,Alex Caffi,ITA,Dallara Ford,4
20,Martin Brundle,GBR,Brabham Judd,4
21,Christian Danner,GER,Rial Ford,3
21,Satoru Nakajima,JPN,Lotus Judd,3
23,Rene Arnoux,FRA,Ligier Ford,2
23,Emanuele Pirro,ITA,Benetton Ford,2
25,Jonathan Palmer,GBR,Tyrrell Ford,2
26,Gabriele Tarquini,ITA,AGS Ford,1
26,Philippe Alliot,FRA,Lola Lamborghini,1
26,Olivier Grouillard,FRA,Ligier Ford,1
26,Luis Perez-Sala,ESP,Minardi Ford,1
