POS,DRIVER,NATIONALITY,CAR,PTS
1,Jack Brabham,AUS,Cooper Climax,43
2,Bruce McLaren,NZL,Cooper Climax,34
3,Stirling Moss,GBR,Lotus Climax,19
4,Innes Ireland,GBR,Lotus Climax,18
5,Phil Hill,USA,Cooper Climax,16
6,Olivier Gendebien,BEL,Cooper Climax,10
6,Wolfgang von Trips,GER,Cooper Maserati,10
8,Jim Rathmann,USA,Watson Offenhauser,8
8,Richie Ginther,USA,Ferrari,8
8,Jim Clark,GBR,Lotus Climax,8
11,Tony Brooks,GBR,Cooper Climax,7
12,Cliff Allison,GBR,Ferrari,6
12,Rodger Ward,USA,Watson Offenhauser,6
12,John Surtees,GBR,Lotus Climax,6
15,Paul Goldsmith,USA,Epperly Offenhauser,4
15,Graham Hill,GBR,BRM,4
15,Willy Mairesse,BEL,Ferrari,4
15,Jo Bonnier,SWE,BRM,4
19,Carlos Menditeguy,ARG,Cooper Maserati,3
19,Don Branson,USA,Phillips Offenhauser,3
19,Henry Taylor,GBR,Cooper Climax,3
19,Giulio Cabianca,ITA,Cooper Castellotti,3
23,Johnny Thomson,USA,Lesovsky Offenhauser,2
24,Eddie Johnson,USA,Trevis Offenhauser,1
24,Lucien Bianchi,BEL,Cooper Climax,1
24,Ron Flockhart,GBR,Cooper Climax,1
24,Hans Herrmann,GER,Porsche,1
