POS,DRIVER,NATIONALITY,CAR,PTS
1,Jack Brabham,AUS,Cooper Climax,31
2,Tony Brooks,GBR,Ferrari,27
3,Stirling Moss,GBR,Cooper Climax,25.5
4,Phil Hill,USA,Ferrari,20
5,Maurice Trintignant,FRA,Cooper Climax,19
6,Bruce McLaren,NZL,Cooper Climax,16.5
7,Dan Gurney,USA,Ferrari,13
8,Jo Bonnier,SWE,BRM,10
8,Masten Gregory,USA,Cooper Climax,10
10,Rodger Ward,USA,Kurtis Kraft Offenhauser,8
11,Jim Rathmann,USA,Watson Offenhauser,6
12,Johnny Thomson,USA,Lesovsky Offenhauser,5
12,Innes Ireland,GBR,Lotus Climax,5
12,Harry Schell,USA,Cooper Climax,5
15,Tony Bettenhausen,USA,Epperly Offenhauser,3
15,Olivier Gendebien,BEL,Ferrari,3
17,Paul Goldsmith,USA,Epperly Offenhauser,2
17,Jean Behra,FRA,Ferrari,2
17,Cliff Allison,GBR,Ferrari,2
