POS,DRIVER,NATIONALITY,CAR,PTS
1,Mike Hawthorn,GBR,Ferrari,42
2,Stirling Moss,GBR,Vanwall,41
3,Tony Brooks,GBR,Vanwall,24
4,Roy Salvadori,GBR,Cooper Climax,15
5,Peter Collins,GBR,Ferrari,14
5,Harry Schell,USA,BRM,14
7,Maurice Trintignant,FRA,Cooper Climax,12
7,Luigi Musso,ITA,Ferrari,12
9,Stuart Lewis-Evans,GBR,Vanwall,11
10,Phil Hill,USA,Ferrari,9
10,Jean Behra,FRA,BRM,9
10,Wolfgang von Trips,GER,Ferrari,9
13,Jimmy Bryan,USA,Epperly Offenhauser,8
14,Juan Manuel Fangio,ARG,Maserati,7
15,George Amick,USA,Epperly Offenhauser,6
16,Tony Bettenhausen,USA,Epperly Offenhauser,4
16,Johnny Boyd,USA,Kurtis Kraft Offenhauser,4
18,Jack Brabham,AUS,Cooper Climax,3
18,Cliff Allison,GBR,Lotus Climax,3
18,Jo Bonnier,SWE,BRM,3
21,Jim Rathmann,USA,Epperly Offenhauser,2
