POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,1,Michael Schumacher,Ferrari,78,1:47:22.561,10
2,2,Rubens Barrichello,Ferrari,78,+0.431s,6
3,18,Eddie Irvine,Jaguar Cosworth,78,+30.698s,4
4,10,Jacques Villeneuve,BAR Honda,78,+32.454s,3
5,4,David Coulthard,McLaren Mercedes,77,+1 lap,2
6,22,Jean Alesi,Prost Acer,77,+1 lap,1
7,8,Jenson Button,Benetton Renault,77,+1 lap,0
8,14,Jos Verstappen,Arrows Asiatech,77,+1 lap,0
9,15,Enrique Bernoldi,Arrows Asiatech,76,+2 laps,0
10,17,Kimi Räikkönen,Sauber Petronas,73,+5 laps,0
NC,5,Ralf Schumacher,Williams BMW,57,DNF,0
NC,20,Tarso Marques,Minardi European,56,DNF,0
NC,21,Fernando Alonso,Minardi European,54,DNF,0
NC,11,Heinz-Harald Frentzen,Jordan Honda,49,DNF,0
NC,7,Giancarlo Fisichella,Benetton Renault,43,DNF,0
NC,12,Jarno Trulli,Jordan Honda,30,DNF,0
NC,23,Luciano Burti,Prost Acer,24,DNF,0
NC,19,Pedro de la Rosa,Jaguar Cosworth,18,DNF,0
NC,3,Mika Hakkinen,McLaren Mercedes,15,DNF,0
NC,9,Olivier Panis,BAR Honda,13,DNF,0
NC,6,Juan Pablo Montoya,Williams BMW,2,DNF,0
NC,16,Nick Heidfeld,Sauber Petronas,0,DNF,0
