POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,1,Michael Schumacher,Ferrari,72,1:33:35.636,10
2,5,Ralf Schumacher,Williams BMW,72,+10.399s,6
3,2,Rubens Barrichello,Ferrari,72,+16.381s,4
4,4,David Coulthard,McLaren Mercedes,72,+17.106s,3
5,12,Jarno Trulli,Jordan Honda,72,+68.285s,2
6,16,Nick Heidfeld,Sauber Petronas,71,+1 lap,1
7,17,Kimi Räikkönen,Sauber Petronas,71,+1 lap,0
8,11,Heinz-Harald Frentzen,Jordan Honda,71,+1 lap,0
9,9,Olivier Panis,BAR Honda,71,+1 lap,0
10,23,Luciano Burti,Prost Acer,71,+1 lap,0
11,7,Giancarlo Fisichella,Benetton Renault,71,+1 lap,0
12,22,Jean Alesi,Prost Acer,70,+2 laps,0
13,14,Jos Verstappen,Arrows Asiatech,70,+2 laps,0
14,19,Pedro de la Rosa,Jaguar Cosworth,70,+2 laps,0
15,20,Tarso Marques,Minardi European,69,+3 laps,0
16,8,Jenson Button,Benetton Renault,68,DNF,0
17,21,Fernando Alonso,Minardi European,65,DNF,0
NC,18,Eddie Irvine,Jaguar Cosworth,54,DNF,0
NC,6,Juan Pablo Montoya,Williams BMW,52,DNF,0
NC,15,Enrique Bernoldi,Arrows Asiatech,17,DNF,0
NC,10,Jacques Villeneuve,BAR Honda,5,DNF,0
NC,3,Mika Hakkinen,McLaren Mercedes,0,DNF,0
