POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,4,David Coulthard,McLaren Mercedes,71,1:39:00.834,10
2,1,Michael Schumacher,Ferrari,71,+16.164s,6
3,16,Nick Heidfeld,Sauber Petronas,70,+1 lap,4
4,9,Olivier Panis,BAR Honda,70,+1 lap,3
5,12,Jarno Trulli,Jordan Honda,70,+1 lap,2
6,7,Giancarlo Fisichella,Benetton Renault,70,+1 lap,1
7,10,Jacques Villeneuve,BAR Honda,70,+1 lap,0
8,22,Jean Alesi,Prost Acer,70,+1 lap,0
9,20,Tarso Marques,Minardi European,68,+3 laps,0
10,8,Jenson Button,Benetton Renault,64,+7 laps,0
11,11,Heinz-Harald Frentzen,Jordan Honda,63,DNF,0
NC,17,Kimi Räikkönen,Sauber Petronas,55,DNF,0
NC,23,Gaston Mazzacane,Prost Acer,54,DNF,0
NC,5,Ralf Schumacher,Williams BMW,54,DNF,0
NC,18,Eddie Irvine,Jaguar Cosworth,52,DNF,0
NC,6,Juan Pablo Montoya,Williams BMW,38,DNF,0
NC,14,Jos Verstappen,Arrows Asiatech,37,DNF,0
NC,19,Luciano Burti,Jaguar Cosworth,30,DNF,0
NC,21,Fernando Alonso,Minardi European,25,DNF,0
NC,15,Enrique Bernoldi,Arrows Asiatech,15,DNF,0
NC,2,Rubens Barrichello,Ferrari,2,DNF,0
NC,3,Mika Hakkinen,McLaren Mercedes,0,DNF,0
