POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,3,Mika Hakkinen,McLaren Mercedes,73,1:32:42.840,10
2,1,Michael Schumacher,Ferrari,73,+11.046s,6
3,4,David Coulthard,McLaren Mercedes,73,+12.043s,4
4,11,Jarno Trulli,Jordan Honda,73,+57.423s,3
5,18,Eddie Irvine,Jaguar Cosworth,73,+72.434s,2
6,16,Nick Heidfeld,Sauber Petronas,73,+72.996s,1
7,12,Jean Alesi,Jordan Honda,72,+1 lap,0
8,7,Giancarlo Fisichella,Benetton Renault,72,+1 lap,0
9,8,Jenson Button,Benetton Renault,72,+1 lap,0
10,22,Heinz-Harald Frentzen,Prost Acer,72,+1 lap,0
11,9,Olivier Panis,BAR Honda,72,+1 lap,0
12,19,Pedro de la Rosa,Jaguar Cosworth,72,+1 lap,0
13,15,Enrique Bernoldi,Arrows Asiatech,72,+1 lap,0
14,23,Tomas Enge,Prost Acer,72,+1 lap,0
15,2,Rubens Barrichello,Ferrari,71,DNF,0
NC,10,Jacques Villeneuve,BAR Honda,45,DNF,0
NC,14,Jos Verstappen,Arrows Asiatech,44,DNF,0
NC,6,Juan Pablo Montoya,Williams BMW,38,DNF,0
NC,20,Alex Yoong,Minardi European,38,DNF,0
NC,5,Ralf Schumacher,Williams BMW,36,DNF,0
NC,21,Fernando Alonso,Minardi European,36,DNF,0
NC,17,Kimi Räikkönen,Sauber Petronas,2,DNF,0
