POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,1,Michael Schumacher,Ferrari,58,1:38:26.533,10
2,4,David Coulthard,McLaren Mercedes,58,+1.718s,6
3,2,Rubens Barrichello,Ferrari,58,+33.491s,4
4,16,Nick Heidfeld,Sauber Petronas,58,+71.479s,3
5,11,Heinz-Harald Frentzen,Jordan Honda,58,+72.807s,2
6,17,Kimi Räikkönen,Sauber Petronas,58,+84.143s,1
7,9,Olivier Panis,BAR Honda,58,+87.050s,0
8,19,Luciano Burti,Jaguar Cosworth,57,+1 lap,0
9,22,Jean Alesi,Prost Acer,57,+1 lap,0
10,14,Jos Verstappen,Arrows Asiatech,57,+1 lap,0
11,18,Eddie Irvine,Jaguar Cosworth,57,+1 lap,0
12,21,Fernando Alonso,Minardi European,56,+2 laps,0
13,7,Giancarlo Fisichella,Benetton Renault,55,+3 laps,0
14,8,Jenson Button,Benetton Renault,52,DNF,0
NC,6,Juan Pablo Montoya,Williams BMW,40,DNF,0
NC,12,Jarno Trulli,Jordan Honda,38,DNF,0
NC,3,Mika Hakkinen,McLaren Mercedes,25,DNF,0
NC,5,Ralf Schumacher,Williams BMW,4,DNF,0
NC,10,Jacques Villeneuve,BAR Honda,4,DNF,0
NC,20,Tarso Marques,Minardi European,3,DNF,0
NC,15,Enrique Bernoldi,Arrows Asiatech,2,DNF,0
NC,23,Gaston Mazzacane,Prost Acer,0,DNF,0
