POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,5,Ralf Schumacher,Williams BMW,62,1:30:44.817,10
2,4,David Coulthard,McLaren Mercedes,62,+4.352s,6
3,2,Rubens Barrichello,Ferrari,62,+34.766s,4
4,3,Mika Hakkinen,McLaren Mercedes,62,+36.315s,3
5,12,Jarno Trulli,Jordan Honda,62,+85.558s,2
6,11,Heinz-Harald Frentzen,Jordan Honda,61,+1 lap,1
7,16,Nick Heidfeld,Sauber Petronas,61,+1 lap,0
8,9,Olivier Panis,BAR Honda,61,+1 lap,0
9,22,Jean Alesi,Prost Acer,61,+1 lap,0
10,15,Enrique Bernoldi,Arrows Asiatech,60,+2 laps,0
11,19,Luciano Burti,Jaguar Cosworth,60,+2 laps,0
12,8,Jenson Button,Benetton Renault,60,+2 laps,0
NC,20,Tarso Marques,Minardi European,50,DNF,0
NC,6,Juan Pablo Montoya,Williams BMW,48,DNF,0
NC,18,Eddie Irvine,Jaguar Cosworth,42,DNF,0
NC,7,Giancarlo Fisichella,Benetton Renault,31,DNF,0
NC,10,Jacques Villeneuve,BAR Honda,30,DNF,0
NC,23,Gaston Mazzacane,Prost Acer,28,DNF,0
NC,1,Michael Schumacher,Ferrari,24,DNF,0
NC,17,Kimi Räikkönen,Sauber Petronas,17,DNF,0
NC,14,Jos Verstappen,Arrows Asiatech,6,DNF,0
NC,21,Fernando Alonso,Minardi European,5,DNF,0
