GRAND PRIX,DRIVER,CAR,TIME
Bahrain,Charles Leclerc,Ferrari,1:34.570
Saudi Arabia,Charles Leclerc,Ferrari,1:31.634
Australia,Charles Leclerc,Ferrari,1:20.260
Emilia Romagna,Max Verstappen,Red Bull Racing RBPT,1:18.446
Miami,Max Verstappen,Red Bull Racing RBPT,1:31.361
Spain,Sergio Perez,Red Bull Racing RBPT,1:24.108
Monaco,Lando Norris,McLaren Mercedes,1:14.693
Azerbaijan,Sergio Perez,Red Bull Racing RBPT,1:46.046
Canada,Carlos Sainz,Ferrari,1:15.749
Great Britain,Lewis Hamilton,Mercedes,1:30.510
Austria,Max Verstappen,Red Bull Racing RBPT,1:07.275
France,Carlos Sainz,Ferrari,1:35.781
Hungary,Lewis Hamilton,Mercedes,1:21.386
Belgium,Max Verstappen,Red Bull Racing RBPT,1:49.354
Netherlands,Max Verstappen,Red Bull Racing RBPT,1:13.652
Italy,Sergio Perez,Red Bull Racing RBPT,1:24.030
Singapore,George Russell,Mercedes,1:46.458
Japan,Zhou Guanyu,Alfa Romeo Ferrari,1:44.411
United States,George Russell,Mercedes,1:38.788
Mexico,George Russell,Mercedes,1:20.153
Brazil,George Russell,Mercedes,1:13.785
Abu Dhabi,Lando Norris,McLaren Mercedes,1:28.391
