POS,DRIVER,NATIONALITY,CAR,PTS
1,Lewis Hamilton,GBR,McLaren Mercedes,98
2,Felipe Massa,BRA,Ferrari,97
3,Kimi Räikkönen,FIN,Ferrari,75
4,Robert Kubica,POL,Sauber BMW,75
5,Fernando Alonso,ESP,Renault,61
6,Nick Heidfeld,GER,Sauber BMW,60
7,Heikki Kovalainen,FIN,McLaren Mercedes,53
8,Sebastian Vettel,GER,STR Ferrari,35
9,Jarno Trulli,ITA,Toyota,31
10,Timo Glock,GER,Toyota,25
11,Mark Webber,AUS,Red Bull Renault,21
12,Nelson Piquet,BRA,Renault,19
13,Nico Rosberg,GER,Williams Toyota,17
14,Rubens Barrichello,BRA,Honda,11
15,Kazuki Nakajima,JPN,Williams Toyota,9
16,David Coulthard,GBR,Red Bull Renault,8
17,Sebastien Bourdais,FRA,STR Ferrari,4
18,Jenson Button,GBR,Honda,3
19,Giancarlo Fisichella,ITA,Force India Ferrari,0
20,Adrian Sutil,GER,Force India Ferrari,0
21,Takuma Sato,JPN,Super Aguri Honda,0
22,Anthony Davidson,GBR,Super Aguri Honda,0
