POS,DRIVER,NATIONALITY,CAR,PTS
1,Ayrton Senna,BRA,McLaren Honda,96
2,Nigel Mansell,GBR,Williams Renault,72
3,Riccardo Patrese,ITA,Williams Renault,53
4,Gerhard Berger,AUT,McLaren Honda,43
5,Alain Prost,FRA,Ferrari,34
6,Nelson Piquet,BRA,Benetton Ford,26.5
7,Jean Alesi,FRA,Ferrari,21
8,Stefano Modena,ITA,Tyrrell Honda,10
9,Andrea de Cesaris,ITA,Jordan Ford,9
10,Roberto Moreno,BRA,Minardi Ferrari,8
11,Pierluigi Martini,ITA,Minardi Ferrari,6
12,Jyrki Jarvilehto,FIN,Dallara Judd,4
12,Bertrand Gachot,FRA,Jordan Ford,4
12,Michael Schumacher,GER,Benetton Ford,4
15,Mika Hakkinen,FIN,Lotus Judd,2
15,Martin Brundle,GBR,Brabham Yamaha,2
15,Satoru Nakajima,JPN,Tyrrell Honda,2
18,Julian Bailey,GBR,Lotus Judd,1
18,Eric Bernard,FRA,Lola Ford,1
18,Ivan Capelli,ITA,Leyton House Ilmor,1
18,Aguri Suzuki,JPN,Lola Ford,1
18,Emanuele Pirro,ITA,Dallara Judd,1
18,Mark Blundell,GBR,Brabham Yamaha,1
24,Gianni Morbidelli,ITA,Ferrari,0.5
