POS,DRIVER,NATIONALITY,CAR,PTS
1,Keke Rosberg,FIN,Williams Ford,44
2,Didier Pironi,FRA,Ferrari,39
2,John Watson,GBR,McLaren Ford,39
4,Alain Prost,FRA,Renault,34
5,Niki Lauda,AUT,McLaren Ford,30
6,Rene Arnoux,FRA,Renault,28
7,Patrick Tambay,FRA,Ferrari,25
7,Michele Alboreto,ITA,Tyrrell Ford,25
9,Elio de Angelis,ITA,Lotus Ford,23
10,Riccardo Patrese,ITA,Brabham BMW,21
11,Nelson Piquet,BRA,Brabham BMW,20
12,Eddie Cheever,USA,Ligier Matra,15
13,Derek Daly,IRL,Williams Ford,8
14,Nigel Mansell,GBR,Lotus Ford,7
15,Carlos Reutemann,ARG,Williams Ford,6
15,Gilles Villeneuve,CAN,Ferrari,6
17,Andrea de Cesaris,ITA,Alfa Romeo,5
17,Jacques Laffite,FRA,Ligier Matra,5
19,Mario Andretti,USA,Ferrari,4
20,Jean-Pierre Jarier,FRA,Osella Ford,3
20,Marc Surer,SUI,Arrows Ford,3
22,Manfred Winkelhock,GER,ATS Ford,2
22,Eliseo Salazar,CHI,ATS Ford,2
22,Bruno Giacomelli,ITA,Alfa Romeo,2
22,Mauro Baldi,ITA,Arrows Ford,2
26,Chico Serra,BRA,Fittipaldi Ford,1
