POS,DRIVER,NATIONALITY,CAR,PTS
1,Jackie Stewart,GBR,Tyrrell Ford,62
2,Ronnie Peterson,SWE,null,33
3,Francois Cevert,FRA,Tyrrell Ford,26
4,Jacky Ickx,BEL,Ferrari,19
4,Jo Siffert,SUI,BRM,19
6,Emerson Fittipaldi,BRA,Lotus Ford,16
7,Clay Regazzoni,SUI,Ferrari,13
8,Mario Andretti,USA,Ferrari,12
9,Peter Gethin,GBR,BRM,9
9,Pedro Rodriguez,MEX,BRM,9
9,Chris Amon,NZL,Matra,9
9,Reine Wisell,SWE,Lotus Ford,9
9,Denny Hulme,NZL,McLaren Ford,9
14,Tim Schenken,AUS,Brabham Ford,5
14,Howden Ganley,NZL,BRM,5
16,Mark Donohue,USA,null,4
16,Henri Pescarolo,FRA,null,4
18,Mike Hailwood,GBR,Surtees Ford,3
18,John Surtees,GBR,Surtees Ford,3
18,Rolf Stommelen,GER,Surtees Ford,3
21,Graham Hill,GBR,Brabham Ford,2
22,Jean-Pierre Beltoise,FRA,Matra,1
