POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,11,Jacky Ickx,Brabham Ford,90,1:59:25.700,9
2,12,Jack Brabham,Brabham Ford,90,+46.200s,6
3,2,Jochen Rindt,Lotus Ford,90,+52.000s,4
4,18,Jean-Pierre Beltoise,Matra Ford,89,+1 lap,3
5,4,Bruce McLaren,McLaren Ford,87,+3 laps,2
6,19,Johnny Servoz-Gavin,Matra Ford,84,+6 laps,1
7,25,Pete Lovely,Lotus Ford,81,+9 laps,0
NC,16,Bill Brack,BRM,80,+10 laps,0
NC,1,Graham Hill,Lotus Ford,42,DNF,0
NC,9,Jo Siffert,Lotus Ford,40,DNF,0
NC,3,John Miles,Lotus Ford,40,DNF,0
NC,6,Pedro Rodriguez,Ferrari,37,DNF,0
NC,17,Jackie Stewart,Matra Ford,32,DNF,0
DQ,69,Al Pease,Eagle Climax,22,DSQ,0
NC,14,John Surtees,BRM,15,DNF,0
NC,21,Piers Courage,Brabham Ford,13,DNF,0
NC,26,John Cordts,Brabham Climax,10,DNF,0
NC,5,Denny Hulme,McLaren Ford,9,DNF,0
NC,15,Jackie Oliver,BRM,2,DNF,0
NC,20,Silvio Moser,Brabham Ford,0,DNF,0
